ID,PERID,uno,sero,tot,alt_out,Lin,Min,Hin,gend,gend1,nchlt11,Esc,Ho,Soc,AR,Eo
1343,12768,1,0,1080,1076,0,0,1,1,1,0,0,0,4,0,0
941,9123,1,0,1080,1070,1,0,0,1,1,2,0,9,0,0,1
175,1523,1,0,1080,1075,1,0,0,2,0,0,0,0,0,5,0
1940,18018,1,0,1080,793,0,0,1,2,0,2,0,215,72,0,0
1684,15554,1,0,1080,899,1,0,0,1,1,0,0,27,141,0,13
1249,12013,1,0,1080,888,0,1,0,2,0,1,0,192,0,0,0
1975,18290,1,0,1080,1078,1,0,0,1,1,3,0,0,0,2,0
1967,18242,1,0,1080,1075,1,0,0,1,1,0,0,0,0,0,5
775,7393,1,0,1080,1077,1,0,0,1,1,0,0,0,0,3,0
1119,10962,1,0,1080,1079,0,0,1,2,0,0,0,1,0,0,0
1336,12733,1,0,1080,485,0,0,1,2,0,0,0,275,320,0,0
1766,16320,1,0,1080,575,0,1,0,2,0,2,0,505,0,0,0
538,5301,1,0,1080,641,1,0,0,1,1,0,0,37,270,0,132
1999,18503,1,0,1080,1078,1,0,0,2,0,0,0,0,0,0,2
1117,10951,1,0,1080,1075,1,0,0,1,1,0,5,0,0,0,0
1932,17943,1,0,1080,931,1,0,0,2,0,0,87,62,0,0,0
61,531,1,0,1080,1030,1,0,0,2,0,3,0,50,0,0,0
539,5311,1,0,1080,1078,0,1,0,1,1,0,0,2,0,0,0
1910,17732,1,0,1080,866,1,0,0,2,0,2,0,0,214,0,0
1528,14402,1,0,1080,683,0,1,0,1,1,0,0,338,0,59,0
1272,12201,1,0,1080,805,0,0,1,2,0,0,15,260,0,0,0
980,9585,1,0,1080,952,0,0,1,1,1,0,0,0,0,0,128
1728,15960,1,0,1080,301,1,0,0,2,0,1,0,417,362,0,0
1962,18177,1,0,1080,871,0,1,0,2,0,2,41,168,0,0,0
54,494,1,0,1080,916,0,0,1,2,0,0,1,152,0,11,0
552,5378,1,0,1080,480,0,1,0,1,1,0,0,0,600,0,0
877,8496,1,0,1080,1078,0,0,1,2,0,0,2,0,0,0,0
1511,14273,1,0,1080,826,0,1,0,1,1,0,0,0,254,0,0
1334,12731,1,0,1080,1016,1,0,0,1,1,0,0,0,64,0,0
679,6580,1,0,1080,1075,1,0,0,1,1,0,0,5,0,0,0
1003,9807,1,0,1080,987,1,0,0,2,0,3,0,93,0,0,0
404,3947,1,0,1080,1006,1,0,0,1,1,0,0,3,29,0,42
1425,13537,1,0,1080,1066,0,1,0,2,0,3,14,0,0,0,0
471,4621,1,0,1080,1046,0,1,0,2,0,4,0,34,0,0,0
1611,15015,1,0,1080,1040,0,1,0,2,0,0,0,40,0,0,0
705,6831,1,0,1080,1074,1,0,0,2,0,2,6,0,0,0,0
616,5822,1,0,1080,454,0,1,0,2,0,0,0,549,0,0,77
1473,13951,1,0,1080,609,1,0,0,2,0,2,27,372,0,72,0
1539,14463,1,0,1080,1074,0,1,0,2,0,0,0,0,0,0,6
1799,16620,1,0,1080,1076,0,0,1,1,1,0,0,0,0,0,4
1918,17792,1,0,1080,376,0,0,1,2,0,0,0,704,0,0,0
1088,10688,1,0,1080,409,1,0,0,2,0,0,0,567,0,66,38
370,3507,1,0,1080,633,0,0,1,2,0,0,0,0,447,0,0
1652,15305,1,0,1080,899,0,0,1,2,0,0,0,168,0,0,13
1875,17460,1,0,1080,1067,0,0,1,2,0,0,0,0,13,0,0
695,6719,1,0,1080,1077,1,0,0,2,0,1,3,0,0,0,0
289,2667,1,0,1080,894,0,1,0,2,0,2,0,186,0,0,0
971,9528,1,0,1080,1079,0,0,1,1,1,0,0,0,1,0,0
1347,12824,1,0,1080,1078,1,0,0,2,0,1,2,0,0,0,0
1251,12016,1,0,1080,999,0,1,0,2,0,1,0,81,0,0,0
735,7056,1,0,1080,1076,1,0,0,1,1,0,0,0,0,0,4
1714,15861,1,0,1080,724,0,1,0,2,0,0,0,135,221,0,0
354,3377,1,0,1080,796,0,0,1,2,0,1,5,279,0,0,0
1909,17723,1,0,1080,1078,1,0,0,2,0,2,0,0,0,0,2
218,1871,1,0,1080,493,0,1,0,1,1,0,0,587,0,0,0
1807,16747,1,0,1080,1076,1,0,0,2,0,2,0,4,0,0,0
714,6859,1,0,1080,1048,1,0,0,1,1,0,0,0,0,32,0
403,3941,1,0,1080,1079,1,0,0,1,1,0,0,1,0,0,0
1027,10039,1,0,1080,1079,0,1,0,2,0,0,1,0,0,0,0
1386,13163,1,0,1080,919,0,0,1,1,1,0,9,152,0,0,0
928,9039,1,0,1080,371,0,1,0,2,0,0,0,614,0,0,95
1581,14786,1,0,1080,903,1,0,0,2,0,0,0,0,177,0,0
1146,11143,1,0,1080,725,0,0,1,2,0,0,0,355,0,0,0
1657,15328,1,0,1080,1078,1,0,0,2,0,0,0,0,0,2,0
1947,18077,1,0,1080,1077,0,0,1,1,1,3,0,0,3,0,0
1624,15101,1,0,1080,849,1,0,0,2,0,0,0,231,0,0,0
1404,13291,1,0,1080,836,0,0,1,2,0,0,7,237,0,0,0
172,1492,1,0,1080,935,1,0,0,2,0,2,0,92,53,0,0
511,4980,1,0,1080,1079,1,0,0,2,0,2,0,0,1,0,0
139,1182,1,0,1080,800,1,0,0,2,0,2,0,0,280,0,0
1555,14595,1,0,1080,1075,0,1,0,2,0,0,0,5,0,0,0
436,4282,1,0,1080,893,1,0,0,1,1,0,0,75,107,0,5
312,2954,1,0,1080,723,0,1,0,2,0,1,136,221,0,0,0
1104,10827,1,0,1080,634,0,1,0,2,0,0,58,388,0,0,0
840,8014,1,0,1080,978,1,0,0,2,0,0,19,83,0,0,0
1124,11031,1,0,1080,881,1,0,0,1,1,0,0,20,179,0,0
890,8691,1,0,1080,830,0,1,0,1,1,0,0,0,219,31,0
651,6253,1,0,1080,1079,1,0,0,2,0,2,0,0,0,1,0
1971,18267,1,0,1080,878,0,0,1,2,0,4,0,202,0,0,0
820,7815,1,0,1080,787,1,0,0,1,1,0,0,0,270,0,23
462,4520,1,0,1080,1070,1,0,0,1,1,3,10,0,0,0,0
790,7540,1,0,1080,564,0,0,1,1,1,0,0,0,516,0,0
1617,15049,1,0,1080,958,0,1,0,2,0,0,17,67,0,0,38
452,4438,1,0,1080,893,1,0,0,2,0,2,0,97,90,0,0
515,4998,1,0,1080,1075,0,0,1,2,0,1,5,0,0,0,0
770,7369,1,0,1080,1077,1,0,0,1,1,0,0,0,0,0,3
1089,10690,1,0,1080,1054,1,0,0,1,1,0,0,0,26,0,0
1452,13752,1,0,1080,872,0,1,0,2,0,1,8,179,0,0,21
487,4791,1,0,1080,1079,0,1,0,1,1,0,0,1,0,0,0
302,2866,1,0,1080,983,0,0,1,2,0,1,0,55,42,0,0
1854,17181,1,0,1080,553,0,0,1,2,0,0,0,0,527,0,0
1072,10528,1,0,1080,574,0,1,0,2,0,2,0,300,206,0,0
1823,16895,1,0,1080,1075,0,1,0,2,0,0,0,0,0,0,5
1669,15424,1,0,1080,905,0,1,0,2,0,0,0,82,0,0,93
248,2227,1,0,1080,558,0,0,1,1,1,0,0,522,0,0,0
1686,15557,1,0,1080,794,0,1,0,1,1,0,0,63,220,0,3
263,2394,1,0,1080,733,0,1,0,2,0,2,0,65,0,282,0
1155,11193,1,0,1080,1075,0,1,0,1,1,0,5,0,0,0,0
733,7045,1,0,1080,518,0,1,0,2,0,0,0,522,0,0,40
1379,13073,1,0,1080,1078,0,0,1,2,0,0,0,0,0,0,2
1391,13188,1,0,1080,1076,0,0,1,1,1,0,0,4,0,0,0
1952,18106,1,0,1080,252,0,1,0,2,0,2,0,0,828,0,0
905,8860,1,0,1080,1077,0,0,1,2,0,1,0,0,0,0,3
626,5885,1,0,1080,811,1,0,0,2,0,0,0,115,0,154,0
1674,15439,1,0,1080,771,0,1,0,2,0,0,1,185,123,0,0
1653,15314,1,0,1080,1039,1,0,0,1,1,0,28,1,12,0,0
1182,11393,1,0,1080,581,1,0,0,1,1,0,0,0,499,0,0
599,5677,1,0,1080,1077,0,1,0,2,0,0,0,0,0,3,0
1393,13224,1,0,1080,307,0,1,0,2,0,0,0,773,0,0,0
1383,13106,1,0,1080,763,0,1,0,2,0,1,3,314,0,0,0
1197,11507,1,0,1080,1078,1,0,0,1,1,0,0,2,0,0,0
1866,17350,1,0,1080,620,0,0,1,2,0,0,0,460,0,0,0
1120,10979,1,0,1080,915,0,1,0,1,1,1,0,115,50,0,0
25,222,1,0,1080,1078,1,0,0,2,0,0,0,0,0,2,0
1711,15800,1,0,1080,1077,0,0,1,2,0,0,0,0,0,0,3
1758,16224,1,0,1080,612,1,0,0,2,0,0,0,468,0,0,0
1398,13271,1,0,1080,686,1,0,0,2,0,0,0,394,0,0,0
1191,11460,1,0,1080,1079,1,0,0,2,0,0,0,0,0,0,1
1442,13696,1,0,1080,1017,0,0,1,1,1,0,0,63,0,0,0
154,1387,1,0,1080,1075,1,0,0,1,1,0,0,0,5,0,0
102,870,1,0,1080,977,1,0,0,1,1,0,0,0,103,0,0
1200,11553,1,0,1080,1057,0,1,0,1,1,0,23,0,0,0,0
896,8734,1,0,1080,462,0,0,1,2,0,0,0,618,0,0,0
1052,10280,1,0,1080,922,0,1,0,2,0,0,0,158,0,0,0
