ID,uno,sero,rural,urban,b51q11,Accomod,FandB,Transp,Shp,Recr,fr_fem,hinc20k,stlt3,st410,stgt10,bud
6572,1,0,0,1,4,0,900,1530,1700,0,0.333333333,0,0,1,0,100000
11432,1,0,0,1,5,11600,800,1900,700,0,1,0,0,1,0,100000
1472,1,0,1,0,7,200,1100,390,3500,0,0.25,0,0,1,0,100000
2376,1,0,1,0,6,13500,600,870,1400,0,0.5,0,0,1,0,100000
2656,1,0,1,0,5,300,300,970,900,0,0.5,0,0,1,0,100000
12361,1,0,0,1,12,0,0,1600,0,0,0.75,0,0,0,1,100000
3883,1,0,1,0,5,0,600,68,700,0,1,0,0,1,0,100000
15325,1,0,0,1,2,0,0,500,200,0,1,0,1,0,0,100000
419,1,0,1,0,10,0,100,370,500,0,0.666666667,0,0,1,0,100000
10835,1,0,0,1,3,1200,2500,22000,6300,0,0.5,0,1,0,0,100000
11048,1,0,0,1,7,1900,3100,3000,900,0,0.5,0,0,1,0,100000
12781,1,0,0,1,2,8300,1800,2260,1200,1700,0.5,0,1,0,0,100000
10136,1,0,0,1,5,100,600,8100,1000,0,0.5,1,0,1,0,100000
11030,1,0,0,1,5,2000,1700,4200,4500,0,0.5,1,0,1,0,100000
2561,1,0,1,0,7,0,400,13160,700,0,0.5,0,0,1,0,100000
13937,1,0,0,1,4,0,0,1200,0,0,0.666666667,0,0,1,0,100000
9173,1,0,0,1,4,800,1400,3550,1000,0,0,0,0,1,0,100000
11978,1,0,0,1,5,500,1200,23300,100,100,0.714285714,1,0,1,0,100000
10391,1,0,0,1,2,0,500,690,0,0,0,0,1,0,0,100000
2419,1,0,1,0,2,200,1200,400,3900,100,0,0,1,0,0,100000
3568,1,0,1,0,1,0,0,250,1100,0,0.5,0,1,0,0,100000
5164,1,0,0,1,3,0,0,340,0,0,0,0,1,0,0,100000
4060,1,0,1,0,4,0,1000,700,300,0,0.5,0,0,1,0,100000
13196,1,0,0,1,4,200,500,760,700,0,0.5,0,0,1,0,100000
3281,1,0,1,0,2,0,100,470,1000,0,0.666666667,0,1,0,0,100000
14620,1,0,1,0,3,0,1500,480,1500,0,0.333333333,0,1,0,0,100000
